Date,Open,High,Low,Close,Adj Close,Volume
2021-04-20,616.739990,625.090027,608.200012,613.030029,608.969604,1372400
2021-04-21,619.580017,641.250000,617.440002,641.250000,637.002686,2074000
2021-04-22,643.900024,649.940002,611.000000,614.539978,610.469543,2436700
2021-04-23,620.770020,630.000000,613.570007,627.489990,623.333740,1488800
2021-04-26,626.929993,643.349976,623.729980,643.169983,638.909912,1298700
2021-04-27,647.359985,649.000000,639.799988,644.880005,640.608582,991900
2021-04-28,644.000000,644.000000,633.530029,638.049988,633.823792,738000
2021-04-29,641.969971,643.000000,629.520020,640.969971,636.724487,893800
2021-04-30,630.419983,637.489990,619.820007,620.450012,616.340454,1366700
2021-05-03,629.270020,630.000000,613.780029,617.239990,613.151611,1158200
2021-05-04,608.380005,609.549988,590.200012,606.289978,602.274170,1587800
2021-05-05,617.309998,620.989990,603.359985,611.000000,606.953003,983500
2021-05-06,609.159973,619.150024,601.409973,617.440002,613.350342,1191100
2021-05-07,625.989990,634.799988,618.200012,630.539978,626.363586,1033500
2021-05-10,621.409973,624.070007,586.159973,586.450012,582.565613,1765900
2021-05-11,568.559998,595.150024,562.929993,592.429993,588.505981,1946900
2021-05-12,575.000000,577.719971,555.799988,557.669983,553.976196,2429300
2021-05-13,572.960022,594.390015,570.179993,584.729980,580.856995,2940200
2021-05-14,596.000000,609.429993,578.000000,602.989990,598.996033,1548500
2021-05-17,590.390015,592.719971,576.000000,592.070007,588.148376,1679100
2021-05-18,597.919983,601.330017,584.739990,584.830017,580.956360,1167900
2021-05-19,569.099976,603.090027,566.030029,602.200012,598.211365,1576900
2021-05-20,607.599976,634.000000,604.400024,626.719971,622.568848,1974100
2021-05-21,623.450012,625.479980,610.200012,614.099976,610.032471,1474700
2021-05-24,625.349976,641.530029,622.020020,634.640015,630.436462,1408800
2021-05-25,641.000000,652.070007,638.239990,640.369995,636.128418,1501700
2021-05-26,641.770020,646.580017,632.359985,638.039978,633.813904,1262100
2021-05-27,634.869995,651.229980,634.869995,645.700012,641.423218,2245200
2021-05-28,653.000000,655.320007,647.989990,649.849976,645.545654,841400
2021-06-01,656.000000,673.799988,647.500000,649.039978,644.741028,1276000
2021-06-02,647.679993,655.869995,642.500000,648.989990,644.691345,919500
2021-06-03,638.549988,642.599976,631.200012,635.780029,631.568909,1178600
2021-06-04,644.010010,656.229980,641.799988,655.309998,650.969482,1044300
